kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,7,1,2,2,astar,226.725807003,1.42957172218,1386,241,5.8673e-05,0.000202417,0.000352266,0.000616512
uniform,7,1,2,inf,astar,223.530281311,0,1792,240,0.000215385,0.000314558,0.000338877,0.000875041
uniform,7,2,2,0,dp,224.040013323,6.38554954462,301,256,4.647e-06,2.9126e-05,6.9613e-05,0.000107669
uniform,7,2,2,1,dp,210.592523404,0,826,256,1.485e-05,8.3919e-05,0.000117038,0.000217103
uniform,7,2,2,2,dp,210.592523404,0,1386,256,5.4713e-05,0.000185526,0.000144395,0.000386033
uniform,7,2,2,inf,dp,210.592523404,0,1792,256,0.000200588,0.000282736,0.000172922,0.000659724
uniform,7,2,2,0,astar,224.040013323,6.38554954462,301,247,3.508e-06,2.5939e-05,0.00020738,0.000240098
uniform,7,2,2,1,astar,210.592523404,0,826,236,1.3907e-05,8.5135e-05,0.000282417,0.000383575
uniform,7,2,2,2,astar,210.592523404,0,1386,236,5.8571e-05,0.000177902,0.000365674,0.000605008
uniform,7,2,2,inf,astar,210.592523404,0,1792,236,0.000191521,0.002581188,0.000652094,0.003432118
uniform,7,3,2,0,dp,135.348517291,8.20895108871,301,256,4.566e-06,2.8951e-05,7.314e-05,0.000110011
uniform,7,3,2,1,dp,125.080703518,0,826,256,1.4453e-05,8.9731e-05,0.00011671,0.000222255
uniform,7,3,2,2,dp,125.080703518,0,1386,256,5.7748e-05,0.000429537,0.000148233,0.000638001
uniform,7,3,2,inf,dp,125.080703518,0,1792,256,0.00019099,0.000344452,0.000193281,0.000733958
uniform,7,3,2,0,astar,135.348517291,8.20895108871,301,210,4.391e-06,2.8473e-05,0.000411731,0.000448612
uniform,7,3,2,1,astar,125.080703518,0,826,193,1.595e-05,9.0236e-05,0.000372482,0.000482978
uniform,7,3,2,2,astar,125.080703518,0,1386,194,0.000202082,0.000196436,0.00043764,0.000841793
uniform,7,3,2,inf,astar,125.080703518,0,1792,194,0.000845906,0.001253212,0.000311159,0.002415438
uniform,7,4,2,0,dp,228.999722053,7.60003754348,301,256,4.299e-06,2.6796e-05,7.1142e-05,0.000106413
uniform,7,4,2,1,dp,212.824946237,0,826,256,1.39e-05,0.000145978,0.000143264,0.000305781
uniform,7,4,2,2,dp,212.824946237,0,1386,256,5.9225e-05,0.000213051,0.000149314,0.000425356
uniform,7,4,2,inf,dp,212.824946237,0,1792,256,0.00018363,0.00034906,0.000162831,0.000699094
uniform,7,4,2,0,astar,228.999722053,7.60003754348,301,242,4.089e-06,2.6435e-05,0.000228749,0.000262735
uniform,7,4,2,1,astar,212.824946237,0,826,228,1.4622e-05,8.7985e-05,0.000328823,0.000434246
uniform,7,4,2,2,astar,212.824946237,0,1386,228,6.2578e-05,0.000204964,0.000351734,0.000624265
uniform,7,4,2,inf,astar,212.824946237,0,1792,228,0.000190226,0.000299073,0.000345375,0.000838887
uniform,8,0,2,0,dp,216.776810058,1.33850953071,456,576,4.08e-06,6.4402e-05,0.000175878,0.00025052
