kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,8,0,3,0,dp,185.290834195,1.85335925197,456,576,1.0018e-05,4.8623e-05,0.000127469,0.000192028
uniform,8,0,3,1,dp,181.919217546,0,1464,576,1.2643e-05,0.000154486,0.000233561,0.000403133
uniform,8,0,3,2,dp,181.919217546,0,2864,576,5.9503e-05,0.00034987,0.000376256,0.000788502
uniform,8,0,3,inf,dp,181.919217546,0,4608,576,0.000378072,0.000762418,0.00045869,0.001601887
uniform,8,1,3,0,dp,193.52640515,6.60520688216,456,576,2.054e-06,2.6777e-05,0.000145949,0.000177411
uniform,8,1,3,1,dp,181.535603006,0,1464,576,1.2579e-05,0.000104522,0.000229704,0.00034813
uniform,8,1,3,2,dp,181.535603006,0,2864,576,5.1856e-05,0.00048556,0.000344612,0.000884518
uniform,8,1,3,inf,dp,181.535603006,0,4608,576,0.000327492,0.000605962,0.000492555,0.001428072
uniform,8,2,3,0,dp,185.147299637,1.55456820645,456,576,1.851e-06,3.0075e-05,0.000151178,0.000185771
uniform,8,2,3,1,dp,182.313117871,0,1464,576,1.4524e-05,0.000108988,0.000233074,0.00035973
uniform,8,2,3,2,dp,182.313117871,0,2864,576,6.0926e-05,0.000268932,0.000398387,0.000730958
uniform,8,2,3,inf,dp,182.313117871,0,4608,576,0.00041166,0.001487992,0.001453775,0.003358154
uniform,9,0,3,0,dp,189.56358037,0,657,1280,4.775e-06,8.3558e-05,0.000502218,0.00059867
uniform,9,0,3,1,dp,189.56358037,0,2421,1280,1.9782e-05,0.000174455,0.000714091,0.000913212
uniform,9,0,3,2,dp,189.56358037,0,5445,1280,8.7665e-05,0.000647746,0.00120985,0.001949835
uniform,9,0,3,inf,dp,189.56358037,0,11520,1280,0.001207984,0.001571585,0.002012286,0.00479579
uniform,9,1,3,0,dp,211.756319507,5.47394234814,657,1280,0.000161644,3.8692e-05,0.000339867,0.000543809
uniform,9,1,3,1,dp,200.766478234,0,2421,1280,1.642e-05,0.000166509,0.000697573,0.00088325
uniform,9,1,3,2,dp,200.766478234,0,5445,1280,8.5398e-05,0.000469593,0.0012118,0.001768819
uniform,9,1,3,inf,dp,200.766478234,0,11520,1280,0.001074899,0.004048698,0.002111797,0.007266632
uniform,9,2,3,0,dp,194.506407581,1.66743011161,657,1280,3.367e-06,3.7696e-05,0.000320492,0.000365745
uniform,9,2,3,1,dp,191.316341298,0,2421,1280,4.0568e-05,0.00018937,0.00068188,0.000914234
uniform,9,2,3,2,dp,191.316341298,0,5445,1280,0.000727661,0.002668826,0.001260203,0.004660752
uniform,9,2,3,inf,dp,191.316341298,0,11520,1280,0.000958625,0.001348688,0.001992649,0.004304797
uniform,10,0,3,0,dp,201.487023188,0,910,2816,3.814e-06,4.9069e-05,0.000911451,0.000969743
uniform,10,0,3,1,dp,201.487023188,0,3790,2816,2.8197e-05,0.000278196,0.001999753,0.002310732
uniform,10,0,3,2,dp,201.487023188,0,9670,2816,0.000111555,0.000772028,0.007027078,0.007915949
uniform,10,0,3,inf,dp,201.487023188,0,28160,2816,0.00307299,0.004911616,0.01019148,0.018183124
uniform,10,1,3,0,dp,207.883156319,8.12494609083,910,2816,0.000415743,5.2652e-05,0.00083864,0.001311659
uniform,10,1,3,1,dp,192.261974535,0,3790,2816,2.3352e-05,0.000276144,0.003681445,0.00398493
uniform,10,1,3,2,dp,192.261974535,0,9670,2816,0.000256097,0.001699013,0.004829608,0.00679114
uniform,10,1,3,inf,dp,192.261974535,0,28160,2816,0.00354924,0.004161476,0.009614854,0.017333074
uniform,10,2,3,0,dp,186.790035375,0,910,2816,6.13e-06,5.3421e-05,0.001415112,0.001480157
uniform,10,2,3,1,dp,186.790035375,0,3790,2816,2.6011e-05,0.000289722,0.001949016,0.002270058
uniform,10,2,3,2,dp,186.790035375,0,9670,2816,0.000114052,0.000906003,0.004054708,0.005080844
uniform,10,2,3,inf,dp,186.790035375,0,28160,2816,0.002396314,0.004290568,0.008585568,0.015279905
