kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,8,0,1,0,dp,274.005115993,8.30097688706,456,576,1.1632e-05,6.3613e-05,0.000150721,0.000233403
uniform,8,0,1,1,dp,267.304763247,5.6526513431,1464,576,1.2801e-05,0.000416138,0.000330466,0.000763786
uniform,8,0,1,2,dp,258.155889474,2.03654379909,2864,576,7.3925e-05,0.000534779,0.000523895,0.001140498
uniform,8,0,1,inf,dp,253.00336513,0,4608,576,0.000612388,0.001059414,0.000472788,0.002152221
uniform,8,1,1,0,dp,345.962838174,22.1562520085,456,576,2.452e-06,2.8962e-05,0.000246882,0.0002815
uniform,8,1,1,1,dp,329.140785132,16.2165419474,1464,576,1.2026e-05,9.4446e-05,0.000219464,0.000327813
uniform,8,1,1,2,dp,283.213370159,0,2864,576,5.1147e-05,0.00024001,0.000313351,0.000605986
uniform,8,1,1,inf,dp,283.213370159,0,4608,576,0.000331068,0.00056012,0.000406591,0.001299336
uniform,8,2,1,0,dp,316.903698282,23.4753035062,456,576,1.826e-06,2.6611e-05,0.000123624,0.000154126
uniform,8,2,1,1,dp,294.635989281,14.7991279293,1464,576,1.1616e-05,9.3683e-05,0.000211595,0.000318296
uniform,8,2,1,2,dp,278.459276267,8.49618933954,2864,576,5.166e-05,0.00025304,0.000341581,0.000648269
uniform,8,2,1,inf,dp,256.653508259,0,4608,576,0.000320308,0.000540738,0.000419044,0.001282164
uniform,9,0,1,0,dp,274.03255414,8.30007674595,657,1280,2.145e-06,0.000113665,0.000318828,0.000438375
uniform,9,0,1,1,dp,267.731558275,5.80986773454,2421,1280,1.7127e-05,0.000158733,0.000648255,0.000827389
uniform,9,0,1,2,dp,262.904933165,3.90234301896,5445,1280,0.000118373,0.00055638,0.002323462,0.003001714
uniform,9,0,1,inf,dp,253.030803277,0,11520,1280,0.003873328,0.001490638,0.001848397,0.007216772
uniform,9,1,1,0,dp,346.627486821,18.8583904595,657,1280,0.000161138,3.8326e-05,0.000328101,0.000531142
uniform,9,1,1,1,dp,332.324185501,13.9537956485,2421,1280,1.6784e-05,0.000156089,0.000639981,0.000815321
uniform,9,1,1,2,dp,291.630641708,0,5445,1280,8.2934e-05,0.000440074,0.001202281,0.001727416
uniform,9,1,1,inf,dp,291.630641708,0,11520,1280,0.001195562,0.001699444,0.002803976,0.005710898
uniform,9,2,1,0,dp,318.873735123,23.2964829247,657,1280,3.473e-06,3.849e-05,0.002485363,0.002532206
uniform,9,2,1,1,dp,297.124735207,14.8869624739,2421,1280,3.4656e-05,0.000500749,0.000912285,0.001480106
uniform,9,2,1,2,dp,283.797951288,9.73399625258,5445,1280,8.4962e-05,0.000468122,0.001126352,0.001683244
uniform,9,2,1,inf,dp,258.623545099,0,11520,1280,0.000943629,0.001300697,0.001851836,0.004099631
uniform,10,0,1,0,dp,291.501451309,8.05766834818,910,2816,3.742e-06,5.0839e-05,0.000806622,0.000865896
uniform,10,0,1,1,dp,284.335888007,5.40144121986,3790,2816,2.2562e-05,0.000265396,0.001850966,0.002142274
uniform,10,0,1,2,dp,273.265111872,1.29757741208,9670,2816,0.000263306,0.001358032,0.005242344,0.006869116
uniform,10,0,1,inf,dp,269.764705981,0,28160,2816,0.002711453,0.004297393,0.011242482,0.018257911
uniform,10,1,1,0,dp,351.254296273,18.5639442848,910,2816,0.000392379,5.3088e-05,0.000787609,0.00123765
uniform,10,1,1,1,dp,337.325800581,13.8624576274,3790,2816,2.2599e-05,0.000225172,0.001993815,0.002244578
uniform,10,1,1,2,dp,296.257263025,0,9670,2816,0.00010742,0.000730844,0.003754593,0.004596575
uniform,10,1,1,inf,dp,296.257263025,0,28160,2816,0.0109303,0.00530023,0.011184534,0.027420148
uniform,10,2,1,0,dp,342.792514321,30.7630010811,910,2816,4.505e-06,5.1014e-05,0.000822403,0.000883254
uniform,10,2,1,1,dp,305.053672191,16.3669916935,3790,2816,2.3371e-05,0.000271998,0.001925914,0.002225591
uniform,10,2,1,2,dp,289.882867902,10.5798761211,9670,2816,0.000116983,0.000724984,0.005604099,0.00644979
uniform,10,2,1,inf,dp,262.147940539,0,28160,2816,0.00258406,0.003673944,0.008221098,0.014485807
