source_file,kind,n,k,third,alpha,value_mean,gap_mean,generated_ops_mean,states_mean,time_total_mean,time_first_mean,time_second_mean,time_third_mean
alpha1_uniform.csv,uniform,8,0,dp,1,312.29055081633334,17.977510800586668,456.0,576.0,0.00022300966666666667,5.303333333333333e-06,3.972866666666667e-05,0.00017374233333333335
alpha1_uniform.csv,uniform,8,1,dp,1,297.02717922,12.222773739933332,1464.0,576.0,0.000469965,1.2147666666666667e-05,0.00020142233333333333,0.0002538416666666667
alpha1_uniform.csv,uniform,8,2,dp,1,273.27617863333336,3.51091104621,2864.0,576.0,0.0007982509999999999,5.891066666666666e-05,0.0003426096666666667,0.0003929423333333333
alpha1_uniform.csv,uniform,8,inf,dp,1,264.29008118266665,0.0,4608.0,576.0,0.001577907,0.0004212546666666666,0.0007200906666666667,0.00043280766666666665
alpha1_uniform.csv,uniform,9,0,dp,1,313.17792536133334,16.818316710050002,657.0,1280.0,0.001167241,5.558533333333333e-05,6.349366666666666e-05,0.0010440973333333333
alpha1_uniform.csv,uniform,9,1,dp,1,299.060159661,11.55020861898,2421.0,1280.0,0.0010409386666666667,2.285566666666667e-05,0.00027185699999999997,0.000733507
alpha1_uniform.csv,uniform,9,2,dp,1,279.4445087203333,4.545446423846667,5445.0,1280.0,0.002137458,9.542300000000001e-05,0.000488192,0.0015506983333333335
alpha1_uniform.csv,uniform,9,inf,dp,1,267.7616633613333,0.0,11520.0,1280.0,0.005675767000000001,0.002004173,0.0014969263333333334,0.0021680696666666666
alpha1_uniform.csv,uniform,10,0,dp,1,328.516087301,19.12820457136,910.0,2816.0,0.0009956000000000001,0.000133542,5.1646999999999995e-05,0.0008055446666666667
alpha1_uniform.csv,uniform,10,1,dp,1,308.90512025966666,11.876963513586668,3790.0,2816.0,0.002204147666666667,2.2844e-05,0.00025418866666666667,0.0019235649999999997
alpha1_uniform.csv,uniform,10,2,dp,1,286.46841426633335,3.959151177726667,9670.0,2816.0,0.005971827,0.00016256966666666666,0.0009379533333333333,0.004867012
alpha1_uniform.csv,uniform,10,inf,dp,1,276.056636515,0.0,28160.0,2816.0,0.020054621999999998,0.005408604333333333,0.004423855666666667,0.010216037999999998
alpha2_uniform.csv,uniform,8,0,dp,2,232.99611838366664,6.298751186446668,456.0,576.0,0.00018098533333333334,4.850333333333333e-06,3.511e-05,0.00013728966666666666
alpha2_uniform.csv,uniform,8,1,dp,2,219.01181394666665,0.0,1464.0,576.0,0.000393877,1.2251666666666665e-05,0.000127956,0.00025145366666666665
alpha2_uniform.csv,uniform,8,2,dp,2,219.01181394666665,0.0,2864.0,576.0,0.0007024783333333334,5.6263e-05,0.000298442,0.000344912
alpha2_uniform.csv,uniform,8,inf,dp,2,219.01181394666665,0.0,4608.0,576.0,0.001492507,0.00034698533333333333,0.0006940683333333334,0.00044883366666666663
alpha2_uniform.csv,uniform,9,0,dp,2,230.89923259133334,4.6435668551300004,657.0,1280.0,0.0004426480000000001,5.668766666666667e-05,4.494233333333334e-05,0.00033653633333333334
alpha2_uniform.csv,uniform,9,1,dp,2,222.5193016036667,0.8065362686156666,2421.0,1280.0,0.0009005469999999999,1.7714333333333334e-05,0.00018397233333333337,0.0006963043333333333
alpha2_uniform.csv,uniform,9,2,dp,2,220.62126197766668,0.0,5445.0,1280.0,0.002788024,8.565166666666667e-05,0.0011372049999999999,0.0015617850000000002
alpha2_uniform.csv,uniform,9,inf,dp,2,220.62126197766668,0.0,11520.0,1280.0,0.004778102,0.0011326390000000002,0.0016452863333333333,0.001995784
alpha2_uniform.csv,uniform,10,0,dp,2,237.56005548433333,6.460070739230001,910.0,2816.0,0.0010339689999999998,0.000137627,5.283666666666667e-05,0.0008385833333333334
alpha2_uniform.csv,uniform,10,1,dp,2,225.65770060633335,1.0707531230466711,3790.0,2816.0,0.0022540946666666666,2.5386333333333335e-05,0.000311982,0.0019127723333333332
alpha2_uniform.csv,uniform,10,2,dp,2,223.12639424,0.0,9670.0,2816.0,0.0052312593333333325,0.00010595,0.0007733533333333333,0.0043477513333333336
alpha2_uniform.csv,uniform,10,inf,dp,2,223.12639424,0.0,28160.0,2816.0,0.016484497,0.0029456366666666665,0.004077638333333334,0.009454488666666669
alpha3_uniform.csv,uniform,8,0,dp,3,187.98817966066667,3.3377114468599998,456.0,576.0,0.00018507,4.641e-06,3.515833333333333e-05,0.000141532
alpha3_uniform.csv,uniform,8,1,dp,3,181.922646141,0.0,1464.0,576.0,0.000370331,1.3248666666666667e-05,0.00012266533333333334,0.00023211300000000002
alpha3_uniform.csv,uniform,8,2,dp,3,181.922646141,0.0,2864.0,576.0,0.0008013260000000001,5.7428333333333334e-05,0.0003681206666666667,0.000373085
alpha3_uniform.csv,uniform,8,inf,dp,3,181.922646141,0.0,4608.0,576.0,0.002129371,0.000372408,0.000952124,0.0008016733333333333
alpha3_uniform.csv,uniform,9,0,dp,3,198.60876915266667,2.380457486583333,657.0,1280.0,0.0005027413333333334,5.659533333333334e-05,5.3315333333333334e-05,0.0003875256666666667
alpha3_uniform.csv,uniform,9,1,dp,3,193.88213330066665,0.0,2421.0,1280.0,0.0009035653333333334,2.559e-05,0.00017677800000000002,0.000697848
alpha3_uniform.csv,uniform,9,2,dp,3,193.88213330066665,0.0,5445.0,1280.0,0.002793135333333333,0.00030024133333333335,0.001262055,0.0012272843333333333
alpha3_uniform.csv,uniform,9,inf,dp,3,193.88213330066665,0.0,11520.0,1280.0,0.005455739666666667,0.0010805026666666666,0.002322990333333333,0.0020389106666666664
alpha3_uniform.csv,uniform,10,0,dp,3,198.72007162733334,2.70831536361,910.0,2816.0,0.0012538529999999999,0.00014189566666666668,5.171399999999999e-05,0.0010550676666666668
alpha3_uniform.csv,uniform,10,1,dp,3,193.51301103266667,0.0,3790.0,2816.0,0.0028552399999999998,2.5853333333333332e-05,0.000281354,0.0025434046666666667
alpha3_uniform.csv,uniform,10,2,dp,3,193.51301103266667,0.0,9670.0,2816.0,0.006595977666666667,0.000160568,0.0011256813333333333,0.005303797999999999
alpha3_uniform.csv,uniform,10,inf,dp,3,193.51301103266667,0.0,28160.0,2816.0,0.016932034333333332,0.0030061813333333333,0.004454553333333333,0.009463967333333333
scale_inf_dp.csv,uniform,12,inf,dp,2,233.10704022,0.0,159744.0,13312.0,0.354076371,0.042841878,0.06195053,0.249260319
scale_inf_dp.csv,uniform,13,inf,dp,2,233.10704022,0.0,372736.0,28672.0,1.349510602,0.076575587,0.107505275,1.165420303
scale_inf_dp.csv,uniform,14,inf,dp,2,235.483015619,0.0,860160.0,61440.0,7.724339953,0.152907229,0.323024863,7.248395554
scale_k0_astar.csv,uniform,14,0,astar,2,246.856358405,,2562.0,56327.0,0.137657845,0.001084191,0.000266279,0.136037797
scale_k0_astar.csv,uniform,15,0,astar,2,248.653745817,,3165.0,120303.0,0.387206965,0.001992254,0.000239524,0.384186057
scale_k0_astar.csv,uniform,16,0,astar,2,254.914778984,,3856.0,258582.0,0.901358213,0.004446333,0.000254711,0.895956684
scale_k0_astar.csv,uniform,17,0,astar,2,255.780416514,,4641.0,543825.0,2.259658122,0.003095556,0.000386865,2.255511716
scale_k0_astar.csv,uniform,18,0,astar,2,250.016696537,,5526.0,1107807.0,5.700882361,0.025263664,0.000343139,5.673068675
scale_k2_astar.csv,uniform,12,2,astar,2,233.10704022,,26016.0,11882.0,0.136790944,0.000742706,0.004180873,0.131710856
