kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,12,0,2,2,astar,233.10704022,nan,26016,11882,0.000742706,0.004180873,0.131710856,0.136790944
uniform,13,0,2,2,astar,233.10704022,nan,40079,25546,0.00052564,0.005706435,0.276585062,0.282967287
uniform,14,0,2,2,astar,235.483015619,nan,59710,54163,0.000449455,0.005119597,0.74988571,0.755689126
uniform,15,0,2,2,astar,237.055679294,nan,86430,115862,0.001814225,0.007648578,1.857568321,1.868508588
uniform,16,0,2,2,astar,241.200510134,nan,122016,248018,0.001066979,0.011121978,5.214439193,5.228437478
