kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,14,0,2,0,astar,246.856358405,nan,2562,56327,0.001084191,0.000266279,0.136037797,0.137657845
uniform,15,0,2,0,astar,248.653745817,nan,3165,120303,0.001992254,0.000239524,0.384186057,0.387206965
uniform,16,0,2,0,astar,254.914778984,nan,3856,258582,0.004446333,0.000254711,0.895956684,0.901358213
uniform,17,0,2,0,astar,255.780416514,nan,4641,543825,0.003095556,0.000386865,2.255511716,2.259658122
uniform,18,0,2,0,astar,250.016696537,nan,5526,1107807,0.025263664,0.000343139,5.673068675,5.700882361
