kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total,source_file
uniform,10,2,2,1,dp,210.79674915,1.3482992287599999e-14,3790,2816,2.4345e-05,0.00025752,0.002046311,0.002333988,week2_correctness.csv
uniform,10,2,2,2,dp,210.79674915,0.0,9670,2816,0.000129027,0.000779487,0.004246675,0.005160438,week2_correctness.csv
uniform,10,2,2,inf,dp,210.79674915,0.0,28160,2816,0.002610814,0.005384271,0.009339779,0.017341365,week2_correctness.csv
uniform,10,2,2,0,astar,226.232202065,7.32243404028,910,2685,5.335e-06,5.8982e-05,0.002937186,0.003008141,week2_correctness.csv
uniform,10,2,2,1,astar,210.79674915,1.3482992287599999e-14,3790,2571,2.2967e-05,0.000240923,0.00805494,0.008323468,week2_correctness.csv
uniform,10,2,2,2,astar,210.79674915,0.0,9670,2573,0.000112215,0.000792695,0.016617265,0.017528837,week2_correctness.csv
uniform,10,2,2,inf,astar,210.79674915,0.0,28160,2573,0.00228461,0.015279431,0.015978081,0.033550326,week2_correctness.csv
uniform,10,3,2,0,dp,220.386782309,14.8366587048,910,2816,4.825e-06,5.1215e-05,0.000810413,0.00087132,week2_correctness.csv
uniform,10,3,2,1,dp,204.074999539,6.33709892506,3790,2816,2.3479e-05,0.000254715,0.001850375,0.002131914,week2_correctness.csv
uniform,10,3,2,2,dp,191.913266021,0.0,9670,2816,0.000110013,0.000799269,0.004583165,0.005496634,week2_correctness.csv
uniform,10,3,2,inf,dp,191.913266021,0.0,28160,2816,0.004242973,0.004485184,0.009237611,0.017974115,week2_correctness.csv
uniform,10,3,2,0,astar,220.386782309,14.8366587048,910,2675,5.037e-06,5.3718e-05,0.004032031,0.004096884,week2_correctness.csv
uniform,10,3,2,1,astar,204.074999539,6.33709892506,3790,2617,7.4545e-05,0.000552045,0.005044946,0.005677672,week2_correctness.csv
uniform,10,3,2,2,astar,191.913266021,0.0,9670,2443,0.000112404,0.000827803,0.008772009,0.009719677,week2_correctness.csv
uniform,10,3,2,inf,astar,191.913266021,0.0,28160,2448,0.002504334,0.006720618,0.01395004,0.023182799,week2_correctness.csv
uniform,10,4,2,0,dp,244.982505364,10.1247557396,910,2816,5.143e-06,5.5449e-05,0.000895992,0.000961379,week2_correctness.csv
uniform,10,4,2,1,dp,222.459068099,0.0,3790,2816,2.4045e-05,0.000252828,0.002496904,0.002777626,week2_correctness.csv
uniform,10,4,2,2,dp,222.459068099,0.0,9670,2816,0.000125426,0.000841839,0.004067484,0.005041309,week2_correctness.csv
uniform,10,4,2,inf,dp,222.459068099,0.0,28160,2816,0.002408041,0.004024343,0.010982279,0.017421586,week2_correctness.csv
uniform,10,4,2,0,astar,244.982505364,10.1247557396,910,2694,4.551e-06,4.9548e-05,0.003046721,0.003106493,week2_correctness.csv
uniform,10,4,2,1,astar,222.459068099,0.0,3790,2510,2.2997e-05,0.000281234,0.006276673,0.006587192,week2_correctness.csv
uniform,10,4,2,2,astar,222.459068099,0.0,9670,2512,0.000200209,0.000892608,0.008137353,0.009274846,week2_correctness.csv
uniform,10,4,2,inf,astar,222.459068099,0.0,28160,2512,0.002510515,0.006986972,0.015634915,0.025139444,week2_correctness.csv
uniform,8,0,2,0,dp,216.776810058,1.33850953071,456,576,1.3866e-05,7.787e-05,0.000199664,0.000300214,week3_uniform_k_compare.csv
uniform,8,0,2,1,dp,213.913556714,0.0,1464,576,1.701e-05,0.000225233,0.000370715,0.000617603,week3_uniform_k_compare.csv
uniform,8,0,2,2,dp,213.913556714,0.0,2864,576,7.2698e-05,0.000496883,0.000551726,0.001126854,week3_uniform_k_compare.csv
uniform,8,0,2,inf,dp,213.913556714,0.0,4608,576,0.000671538,0.001273833,0.000688764,0.002639623,week3_uniform_k_compare.csv
