kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,12,1,2,inf,dp,257.509488519,0,159744,13312,0.029296732,0.053057267,0.201476384,0.283838563
uniform,12,2,2,0,dp,258.8667594,7.66175228352,1596,13312,1.4672e-05,0.000511034,0.00532597,0.005858579
uniform,12,2,2,1,dp,246.216879389,2.40071277672,8196,13312,4.3079e-05,0.000542009,0.018186557,0.018779004
uniform,12,2,2,2,dp,240.444497614,0,26016,13312,0.00021953,0.001877715,0.042880888,0.044985133
uniform,12,2,2,inf,dp,240.444497614,0,159744,13312,0.016914293,0.035427053,0.207732818,0.260082944
1-center,8,0,2,0,dp,173.639279646,0.278049257451,456,576,3.543e-06,3.0375e-05,0.00012172,0.000159582
1-center,8,0,2,1,dp,173.157815625,0,1464,576,1.2482e-05,0.000102507,0.000290965,0.000408251
1-center,8,0,2,2,dp,173.157815625,0,2864,576,5.4829e-05,0.000256781,0.000334676,0.000649719
1-center,8,0,2,inf,dp,173.157815625,0,4608,576,0.000321625,0.000548195,0.000446152,0.001317982
1-center,8,1,2,0,dp,164.794850368,4.06074334567,456,576,2.426e-06,2.5801e-05,0.000123142,0.00015361
1-center,8,1,2,1,dp,158.364091078,0,1464,576,1.2913e-05,0.000113323,0.000226598,0.000354224
1-center,8,1,2,2,dp,158.364091078,0,2864,576,5.1011e-05,0.000255221,0.000330224,0.000637997
1-center,8,1,2,inf,dp,158.364091078,0,4608,576,0.000331271,0.000489913,0.000437243,0.001259987
1-center,8,2,2,0,dp,169.594954827,0,456,576,2.2e-06,2.4678e-05,0.000122581,0.000151245
1-center,8,2,2,1,dp,169.594954827,0,1464,576,1.182e-05,0.000101896,0.000214152,0.00032912
1-center,8,2,2,2,dp,169.594954827,0,2864,576,5.7352e-05,0.00029256,0.000339173,0.000690631
1-center,8,2,2,inf,dp,169.594954827,0,4608,576,0.000335467,0.00048945,0.000430602,0.001257286
1-center,9,0,2,0,dp,178.63222309,0,657,1280,2.344e-06,3.8954e-05,0.000324727,0.00036886
1-center,9,0,2,1,dp,178.63222309,0,2421,1280,1.7097e-05,0.000163255,0.000659197,0.00084192
1-center,9,0,2,2,dp,178.63222309,0,5445,1280,8.2145e-05,0.000456557,0.00448534,0.005027043
1-center,9,0,2,inf,dp,178.63222309,0,11520,1280,0.00107324,0.001124078,0.001977488,0.004181023
1-center,9,1,2,0,dp,167.931763196,5.52458596977,657,1280,3.202e-06,3.6911e-05,0.000318051,0.000361208
1-center,9,1,2,1,dp,159.139940378,0,2421,1280,1.6587e-05,0.000164931,0.000637485,0.000821257
1-center,9,1,2,2,dp,159.139940378,0,5445,1280,8.0528e-05,0.000474512,0.001112989,0.001670399
1-center,9,1,2,inf,dp,159.139940378,0,11520,1280,0.000913977,0.00108256,0.001884,0.003882975
1-center,9,2,2,0,dp,185.458150928,1.22880539115,657,1280,2.926e-06,3.7229e-05,0.000309106,0.000351452
1-center,9,2,2,1,dp,183.206894729,0,2421,1280,1.6485e-05,0.000233761,0.000703246,0.000955951
1-center,9,2,2,2,dp,183.206894729,0,5445,1280,9.557e-05,0.000564793,0.0030151,0.0036792
1-center,9,2,2,inf,dp,183.206894729,0,11520,1280,0.000979606,0.001128852,0.001945657,0.004058997
1-center,10,0,2,0,dp,177.454030624,0,910,2816,3.815e-06,4.8862e-05,0.000782009,0.000838636
1-center,10,0,2,1,dp,177.454030624,0,3790,2816,2.2069e-05,0.000262835,0.001929821,0.002217822
1-center,10,0,2,2,dp,177.454030624,0,9670,2816,0.000106129,0.00073862,0.00382777,0.004675344
1-center,10,0,2,inf,dp,177.454030624,0,28160,2816,0.002225034,0.00460061,0.008549987,0.01538123
1-center,10,1,2,0,dp,169.53347022,0.660816603307,910,2816,4.862e-06,5.441e-05,0.000788254,0.000852175
1-center,10,1,2,1,dp,168.420519464,0,3790,2816,2.2578e-05,0.000276505,0.001832142,0.002134333
1-center,10,1,2,2,dp,168.420519464,0,9670,2816,0.000106733,0.001624581,0.003896862,0.005632783
1-center,10,1,2,inf,dp,168.420519464,0,28160,2816,0.002284646,0.002933772,0.009011707,0.014236338
1-center,10,2,2,0,dp,191.31729413,4.42690730228,910,2816,4.333e-06,5.105e-05,0.000808566,0.000868345
1-center,10,2,2,1,dp,183.206894729,0,3790,2816,2.2775e-05,0.000256219,0.001834179,0.002116296
1-center,10,2,2,2,dp,183.206894729,0,9670,2816,0.000103116,0.000733774,0.003826851,0.004667851
1-center,10,2,2,inf,dp,183.206894729,0,28160,2816,0.002242906,0.003376509,0.008890033,0.014516371
1-center,11,0,2,0,dp,181.924035709,0,1221,6144,5.84e-06,7.4729e-05,0.001885779,0.001972365
1-center,11,0,2,1,dp,181.924035709,0,5676,6144,3.0227e-05,0.000368756,0.006059534,0.006463329
1-center,11,0,2,2,dp,181.924035709,0,16236,6144,0.000168616,0.001270273,0.014486661,0.015947269
1-center,11,0,2,inf,dp,181.924035709,0,67584,6144,0.005793774,0.009729755,0.045868299,0.061400587
1-center,11,1,2,0,dp,178.356395607,4.00046328662,1221,6144,5.379e-06,6.4287e-05,0.001969907,0.002044979
1-center,11,1,2,1,dp,171.495770279,0,5676,6144,3.3777e-05,0.000436782,0.006529065,0.007006871
1-center,11,1,2,2,dp,171.495770279,0,16236,6144,0.000151724,0.001211009,0.012489513,0.013858976
1-center,11,1,2,inf,dp,171.495770279,0,67584,6144,0.006118434,0.010566821,0.048756525,0.065450275
1-center,11,2,2,0,dp,192.189852387,4.66162587153,1221,6144,6.364e-06,7.2609e-05,0.001926384,0.002011256
1-center,11,2,2,1,dp,185.147560987,0.826576004806,5676,6144,3.0963e-05,0.000389476,0.012936785,0.013362069
1-center,11,2,2,2,dp,184.250367855,0.337987815581,16236,6144,0.000148836,0.001202735,0.017944598,0.019302626
1-center,11,2,2,inf,dp,183.629721769,0,67584,6144,0.005841453,0.012740409,0.041653316,0.060243196
1-center,12,0,2,0,dp,189.527260926,1.04196248737,1596,13312,1.0796e-05,8.7156e-05,0.004629905,0.004734157
1-center,12,0,2,1,dp,188.283863651,0.37907473047,8196,13312,4.4424e-05,0.000523244,0.015402909,0.015976546
1-center,12,0,2,2,dp,187.57282248,0,26016,13312,0.000209169,0.00268599,0.044120844,0.047024078
1-center,12,0,2,inf,dp,187.57282248,0,159744,13312,0.020588189,0.034894115,0.197627063,0.253117579
1-center,12,1,2,0,dp,177.041077182,4.01668786801,1596,13312,1.4481e-05,8.7135e-05,0.00513375,0.005240713
1-center,12,1,2,1,dp,170.204493924,0,8196,13312,4.2212e-05,0.002150641,0.015994537,0.018194772
1-center,12,1,2,2,dp,170.204493924,0,26016,13312,0.000211,0.001894268,0.042503547,0.04461575
1-center,12,1,2,inf,dp,170.204493924,0,159744,13312,0.016926819,0.046897738,0.199554226,0.263386221
1-center,12,2,2,0,dp,215.428625702,6.25978972616,1596,13312,1.487e-05,8.7014e-05,0.004968175,0.005075617
1-center,12,2,2,1,dp,206.138857052,1.67762772181,8196,13312,4.2904e-05,0.000580108,0.015429159,0.016059686
1-center,12,2,2,2,dp,202.737673637,0,26016,13312,0.000235086,0.001931937,0.040862033,0.043035954
1-center,12,2,2,inf,dp,202.737673637,0,159744,13312,0.016106449,0.038112894,0.215454598,0.269680977
2-center,8,0,2,0,dp,209.280467972,0,456,576,3.58e-06,4.0458e-05,0.000127144,0.000178089
2-center,8,0,2,1,dp,209.280467972,0,1464,576,1.3296e-05,0.000108387,0.000221825,0.000345331
2-center,8,0,2,2,dp,209.280467972,0,2864,576,5.2895e-05,0.000273022,0.000332532,0.000660133
2-center,8,0,2,inf,dp,209.280467972,0,4608,576,0.000322207,0.000493302,0.000444073,0.00126134
2-center,8,1,2,0,dp,166.853966482,0,456,576,2.184e-06,2.6664e-05,0.000294095,0.000324872
2-center,8,1,2,1,dp,166.853966482,0,1464,576,1.2193e-05,0.000104685,0.000218169,0.00033712
2-center,8,1,2,2,dp,166.853966482,0,2864,576,5.815e-05,0.000246633,0.000340671,0.000646913
2-center,8,1,2,inf,dp,166.853966482,0,4608,576,0.000323014,0.000469594,0.000437857,0.001232244
2-center,8,2,2,0,dp,199.494437321,1.78194822223,456,576,2.217e-06,2.7038e-05,0.000126782,0.000157865
2-center,8,2,2,1,dp,196.001786963,0,1464,576,1.1735e-05,0.000102249,0.000224141,0.000339523
2-center,8,2,2,2,dp,196.001786963,0,2864,576,5.2226e-05,0.000255429,0.000340568,0.000649886
2-center,8,2,2,inf,dp,196.001786963,0,4608,576,0.000323248,0.000591397,0.000482578,0.001399057
2-center,9,0,2,0,dp,213.031618356,0,657,1280,2.578e-06,3.8403e-05,0.00031612,0.000360197
2-center,9,0,2,1,dp,213.031618356,0,2421,1280,1.7155e-05,0.000304787,0.000645537,0.000970024
2-center,9,0,2,2,dp,213.031618356,0,5445,1280,8.209e-05,0.001294701,0.001354504,0.002735376
2-center,9,0,2,inf,dp,213.031618356,0,11520,1280,0.000936552,0.001131887,0.0019061,0.003978368
2-center,9,1,2,0,dp,182.583849442,1.4345895447,657,1280,2.865e-06,3.9453e-05,0.000319044,0.000363974
2-center,9,1,2,1,dp,180.34825993,0.19260617553,2421,1280,1.7342e-05,0.00016206,0.000635814,0.000817236
2-center,9,1,2,2,dp,180.001565799,0,5445,1280,0.000129657,0.000506172,0.001361985,0.002000544
